,0
low,0.7251436653207068
high,0.25779880677301187
sma_200,0.006680886965497394
open,0.004279082169391516
bb_upper,0.0015396962567058915
sma_20,0.001371815452525081
ema_12,0.0010245004522787796
ema_26,0.0008360517637752376
sma_50,0.0007123246674857253
daily_return,0.00033125818069897224
rsi_14,5.742380396524447e-05
volume,4.9431131977070136e-05
bb_width,3.730152797364549e-05
macd_hist,3.432221356520077e-05
bb_lower,3.422953717707391e-05
macd_signal,2.8460943123562044e-05
macd,2.4986394928460615e-05
bb_mid,1.575644521255541e-05
